ConvNeXt-XL: train_bb False, hidden_dim 128, lr=0.001
Step 100: Test (3.7s): Average loss: 0.6667, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 1400: Test (0.3s): Average loss: 0.5389, Accuracy: 806/1024 (78.71%), TPR: 92.88%, TNR: 61.47%, TNR+TPR/2: 77.18%
Step 1500: Test (0.3s): Average loss: 0.5352, Accuracy: 814/1024 (79.49%), TPR: 91.46%, TNR: 64.94%, TNR+TPR/2: 78.20%
Step 1600: Test (0.3s): Average loss: 0.5396, Accuracy: 816/1024 (79.69%), TPR: 91.28%, TNR: 65.58%, TNR+TPR/2: 78.43%
Step 1700: Test (0.4s): Average loss: 0.5451, Accuracy: 818/1024 (79.88%), TPR: 91.10%, TNR: 66.23%, TNR+TPR/2: 78.67%
Step 1800: Test (0.3s): Average loss: 0.5485, Accuracy: 819/1024 (79.98%), TPR: 90.57%, TNR: 67.10%, TNR+TPR/2: 78.83%
Step 1900: Test (0.3s): Average loss: 0.5489, Accuracy: 815/1024 (79.59%), TPR: 88.97%, TNR: 68.18%, TNR+TPR/2: 78.57%
Step 2000: Test (0.3s): Average loss: 0.5563, Accuracy: 813/1024 (79.39%), TPR: 88.61%, TNR: 68.18%, TNR+TPR/2: 78.40%
ResNet-50: train_bb False, hidden_dim 128, lr=0.0001
Step 100: Test (0.3s): Average loss: 0.6986, Accuracy: 484/1024 (47.27%), TPR: 17.79%, TNR: 83.12%, TNR+TPR/2: 50.46%
Step 200: Test (0.3s): Average loss: 0.6921, Accuracy: 525/1024 (51.27%), TPR: 48.40%, TNR: 54.76%, TNR+TPR/2: 51.58%
Step 300: Test (0.3s): Average loss: 0.6873, Accuracy: 579/1024 (56.54%), TPR: 81.85%, TNR: 25.76%, TNR+TPR/2: 53.80%
Step 400: Test (0.4s): Average loss: 0.6836, Accuracy: 565/1024 (55.18%), TPR: 93.06%, TNR: 9.09%, TNR+TPR/2: 51.08%
Step 500: Test (0.3s): Average loss: 0.6810, Accuracy: 574/1024 (56.05%), TPR: 98.75%, TNR: 4.11%, TNR+TPR/2: 51.43%
Step 600: Test (0.3s): Average loss: 0.6792, Accuracy: 564/1024 (55.08%), TPR: 99.82%, TNR: 0.65%, TNR+TPR/2: 50.24%
Step 700: Test (0.3s): Average loss: 0.6780, Accuracy: 563/1024 (54.98%), TPR: 99.82%, TNR: 0.43%, TNR+TPR/2: 50.13%
Step 800: Test (0.4s): Average loss: 0.6773, Accuracy: 563/1024 (54.98%), TPR: 100.00%, TNR: 0.22%, TNR+TPR/2: 50.11%
Step 900: Test (0.3s): Average loss: 0.6769, Accuracy: 563/1024 (54.98%), TPR: 100.00%, TNR: 0.22%, TNR+TPR/2: 50.11%
Step 1000: Test (0.3s): Average loss: 0.6765, Accuracy: 563/1024 (54.98%), TPR: 100.00%, TNR: 0.22%, TNR+TPR/2: 50.11%
Step 1100: Test (0.3s): Average loss: 0.6761, Accuracy: 563/1024 (54.98%), TPR: 100.00%, TNR: 0.22%, TNR+TPR/2: 50.11%
Step 1200: Test (0.3s): Average loss: 0.6756, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 1300: Test (0.3s): Average loss: 0.6750, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 1400: Test (0.3s): Average loss: 0.6743, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 1500: Test (0.3s): Average loss: 0.6733, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 1600: Test (0.3s): Average loss: 0.6720, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 1700: Test (0.3s): Average loss: 0.6704, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 1800: Test (0.3s): Average loss: 0.6685, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 1900: Test (0.3s): Average loss: 0.6660, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 2000: Test (0.3s): Average loss: 0.6632, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
ResNet-50: train_bb False, hidden_dim 256, lr=0.001
Step 100: Test (0.4s): Average loss: 0.6921, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 200: Test (0.3s): Average loss: 0.6462, Accuracy: 565/1024 (55.18%), TPR: 99.82%, TNR: 0.87%, TNR+TPR/2: 50.34%
Step 300: Test (0.3s): Average loss: 0.5903, Accuracy: 756/1024 (73.83%), TPR: 93.77%, TNR: 49.57%, TNR+TPR/2: 71.67%
Step 400: Test (0.3s): Average loss: 0.5548, Accuracy: 794/1024 (77.54%), TPR: 80.43%, TNR: 74.03%, TNR+TPR/2: 77.23%
Step 500: Test (0.3s): Average loss: 0.5230, Accuracy: 797/1024 (77.83%), TPR: 81.14%, TNR: 73.81%, TNR+TPR/2: 77.47%
Step 600: Test (0.3s): Average loss: 0.5061, Accuracy: 813/1024 (79.39%), TPR: 88.97%, TNR: 67.75%, TNR+TPR/2: 78.36%
Step 700: Test (0.3s): Average loss: 0.5183, Accuracy: 794/1024 (77.54%), TPR: 94.84%, TNR: 56.49%, TNR+TPR/2: 75.67%
Step 800: Test (0.3s): Average loss: 0.5115, Accuracy: 799/1024 (78.03%), TPR: 94.31%, TNR: 58.23%, TNR+TPR/2: 76.27%
Step 900: Test (0.3s): Average loss: 0.4951, Accuracy: 813/1024 (79.39%), TPR: 91.46%, TNR: 64.72%, TNR+TPR/2: 78.09%
Step 1000: Test (0.3s): Average loss: 0.4918, Accuracy: 815/1024 (79.59%), TPR: 90.21%, TNR: 66.67%, TNR+TPR/2: 78.44%
Step 1100: Test (0.3s): Average loss: 0.4792, Accuracy: 816/1024 (79.69%), TPR: 86.30%, TNR: 71.65%, TNR+TPR/2: 78.97%
Step 1200: Test (0.3s): Average loss: 0.4802, Accuracy: 814/1024 (79.49%), TPR: 84.88%, TNR: 72.94%, TNR+TPR/2: 78.91%
Step 1300: Test (0.3s): Average loss: 0.4909, Accuracy: 812/1024 (79.30%), TPR: 85.77%, TNR: 71.43%, TNR+TPR/2: 78.60%
Step 1400: Test (0.3s): Average loss: 0.4999, Accuracy: 808/1024 (78.91%), TPR: 85.23%, TNR: 71.21%, TNR+TPR/2: 78.22%
Step 1500: Test (0.3s): Average loss: 0.5146, Accuracy: 808/1024 (78.91%), TPR: 86.30%, TNR: 69.91%, TNR+TPR/2: 78.11%
Step 1600: Test (0.3s): Average loss: 0.5410, Accuracy: 810/1024 (79.10%), TPR: 88.97%, TNR: 67.10%, TNR+TPR/2: 78.03%
Step 1700: Test (0.3s): Average loss: 0.5726, Accuracy: 806/1024 (78.71%), TPR: 91.10%, TNR: 63.64%, TNR+TPR/2: 77.37%
Step 1800: Test (0.3s): Average loss: 0.6050, Accuracy: 800/1024 (78.12%), TPR: 91.81%, TNR: 61.47%, TNR+TPR/2: 76.64%
Step 1900: Test (0.3s): Average loss: 0.6337, Accuracy: 794/1024 (77.54%), TPR: 92.53%, TNR: 59.31%, TNR+TPR/2: 75.92%
Step 2000: Test (0.3s): Average loss: 0.6620, Accuracy: 789/1024 (77.05%), TPR: 93.42%, TNR: 57.14%, TNR+TPR/2: 75.28%
ResNet-50: train_bb False, hidden_dim 256, lr=0.0001
Step 100: Test (0.3s): Average loss: 0.6817, Accuracy: 608/1024 (59.38%), TPR: 85.23%, TNR: 27.92%, TNR+TPR/2: 56.58%
Step 200: Test (0.3s): Average loss: 0.6766, Accuracy: 584/1024 (57.03%), TPR: 99.29%, TNR: 5.63%, TNR+TPR/2: 52.46%
Step 300: Test (0.4s): Average loss: 0.6738, Accuracy: 566/1024 (55.27%), TPR: 99.82%, TNR: 1.08%, TNR+TPR/2: 50.45%
Step 400: Test (0.3s): Average loss: 0.6725, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 500: Test (0.3s): Average loss: 0.6721, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 600: Test (0.3s): Average loss: 0.6720, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 700: Test (0.3s): Average loss: 0.6718, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 800: Test (0.3s): Average loss: 0.6712, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 900: Test (0.3s): Average loss: 0.6700, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 1000: Test (0.3s): Average loss: 0.6680, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 1100: Test (0.3s): Average loss: 0.6653, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 1200: Test (0.3s): Average loss: 0.6618, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 1300: Test (0.3s): Average loss: 0.6575, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 1400: Test (0.3s): Average loss: 0.6527, Accuracy: 563/1024 (54.98%), TPR: 100.00%, TNR: 0.22%, TNR+TPR/2: 50.11%
Step 1500: Test (0.3s): Average loss: 0.6474, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 1600: Test (0.3s): Average loss: 0.6418, Accuracy: 568/1024 (55.47%), TPR: 100.00%, TNR: 1.30%, TNR+TPR/2: 50.65%
Step 1700: Test (0.3s): Average loss: 0.6359, Accuracy: 573/1024 (55.96%), TPR: 100.00%, TNR: 2.38%, TNR+TPR/2: 51.19%
Step 1800: Test (0.3s): Average loss: 0.6300, Accuracy: 586/1024 (57.23%), TPR: 99.82%, TNR: 5.41%, TNR+TPR/2: 52.62%
Step 1900: Test (0.3s): Average loss: 0.6241, Accuracy: 596/1024 (58.20%), TPR: 99.47%, TNR: 8.01%, TNR+TPR/2: 53.74%
Step 2000: Test (0.3s): Average loss: 0.6183, Accuracy: 611/1024 (59.67%), TPR: 99.47%, TNR: 11.26%, TNR+TPR/2: 55.36%
ResNet-50: train_bb False, hidden_dim 512, lr=0.001
Step 100: Test (0.3s): Average loss: 0.7142, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 200: Test (0.3s): Average loss: 0.6092, Accuracy: 627/1024 (61.23%), TPR: 99.64%, TNR: 14.50%, TNR+TPR/2: 57.07%
Step 300: Test (0.3s): Average loss: 0.5602, Accuracy: 786/1024 (76.76%), TPR: 71.71%, TNR: 82.90%, TNR+TPR/2: 77.30%
Step 400: Test (0.3s): Average loss: 0.5211, Accuracy: 803/1024 (78.42%), TPR: 76.33%, TNR: 80.95%, TNR+TPR/2: 78.64%
Step 500: Test (0.3s): Average loss: 0.5162, Accuracy: 778/1024 (75.98%), TPR: 94.13%, TNR: 53.90%, TNR+TPR/2: 74.01%
Step 600: Test (0.3s): Average loss: 0.5637, Accuracy: 750/1024 (73.24%), TPR: 98.04%, TNR: 43.07%, TNR+TPR/2: 70.56%
Step 700: Test (0.3s): Average loss: 0.5494, Accuracy: 765/1024 (74.71%), TPR: 95.91%, TNR: 48.92%, TNR+TPR/2: 72.41%
Step 800: Test (0.4s): Average loss: 0.4941, Accuracy: 808/1024 (78.91%), TPR: 89.50%, TNR: 66.02%, TNR+TPR/2: 77.76%
Step 900: Test (0.3s): Average loss: 0.4804, Accuracy: 805/1024 (78.61%), TPR: 81.85%, TNR: 74.68%, TNR+TPR/2: 78.26%
Step 1000: Test (0.3s): Average loss: 0.4912, Accuracy: 794/1024 (77.54%), TPR: 78.11%, TNR: 76.84%, TNR+TPR/2: 77.48%
Step 1100: Test (0.3s): Average loss: 0.5032, Accuracy: 808/1024 (78.91%), TPR: 84.16%, TNR: 72.51%, TNR+TPR/2: 78.34%
Step 1200: Test (0.3s): Average loss: 0.5368, Accuracy: 805/1024 (78.61%), TPR: 88.43%, TNR: 66.67%, TNR+TPR/2: 77.55%
Step 1300: Test (0.3s): Average loss: 0.5858, Accuracy: 800/1024 (78.12%), TPR: 91.10%, TNR: 62.34%, TNR+TPR/2: 76.72%
Step 1400: Test (0.4s): Average loss: 0.6327, Accuracy: 791/1024 (77.25%), TPR: 93.06%, TNR: 58.01%, TNR+TPR/2: 75.53%
Step 1500: Test (0.3s): Average loss: 0.6669, Accuracy: 791/1024 (77.25%), TPR: 93.42%, TNR: 57.58%, TNR+TPR/2: 75.50%
Step 1600: Test (0.3s): Average loss: 0.6854, Accuracy: 793/1024 (77.44%), TPR: 93.42%, TNR: 58.01%, TNR+TPR/2: 75.71%
Step 1700: Test (0.3s): Average loss: 0.6981, Accuracy: 794/1024 (77.54%), TPR: 93.24%, TNR: 58.44%, TNR+TPR/2: 75.84%
Step 1800: Test (0.3s): Average loss: 0.6929, Accuracy: 797/1024 (77.83%), TPR: 92.53%, TNR: 59.96%, TNR+TPR/2: 76.24%
Step 1900: Test (0.4s): Average loss: 0.6713, Accuracy: 794/1024 (77.54%), TPR: 89.68%, TNR: 62.77%, TNR+TPR/2: 76.23%
Step 2000: Test (0.3s): Average loss: 0.6587, Accuracy: 799/1024 (78.03%), TPR: 88.08%, TNR: 65.80%, TNR+TPR/2: 76.94%
ResNet-50: train_bb False, hidden_dim 512, lr=0.0001
Step 100: Test (0.3s): Average loss: 0.6885, Accuracy: 563/1024 (54.98%), TPR: 100.00%, TNR: 0.22%, TNR+TPR/2: 50.11%
Step 200: Test (0.3s): Average loss: 0.6856, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 300: Test (0.3s): Average loss: 0.6831, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 400: Test (0.3s): Average loss: 0.6807, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 500: Test (0.3s): Average loss: 0.6782, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 600: Test (0.3s): Average loss: 0.6757, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 700: Test (0.3s): Average loss: 0.6726, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 800: Test (0.3s): Average loss: 0.6690, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 900: Test (0.3s): Average loss: 0.6648, Accuracy: 563/1024 (54.98%), TPR: 100.00%, TNR: 0.22%, TNR+TPR/2: 50.11%
Step 1000: Test (0.3s): Average loss: 0.6601, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 1100: Test (0.3s): Average loss: 0.6551, Accuracy: 566/1024 (55.27%), TPR: 100.00%, TNR: 0.87%, TNR+TPR/2: 50.43%
Step 1200: Test (0.3s): Average loss: 0.6495, Accuracy: 570/1024 (55.66%), TPR: 100.00%, TNR: 1.73%, TNR+TPR/2: 50.87%
Step 1300: Test (0.3s): Average loss: 0.6438, Accuracy: 580/1024 (56.64%), TPR: 100.00%, TNR: 3.90%, TNR+TPR/2: 51.95%
Step 1400: Test (0.3s): Average loss: 0.6381, Accuracy: 594/1024 (58.01%), TPR: 100.00%, TNR: 6.93%, TNR+TPR/2: 53.46%
Step 1500: Test (0.3s): Average loss: 0.6323, Accuracy: 613/1024 (59.86%), TPR: 99.82%, TNR: 11.26%, TNR+TPR/2: 55.54%
Step 1600: Test (0.3s): Average loss: 0.6265, Accuracy: 626/1024 (61.13%), TPR: 99.47%, TNR: 14.50%, TNR+TPR/2: 56.98%
Step 1700: Test (0.3s): Average loss: 0.6207, Accuracy: 645/1024 (62.99%), TPR: 99.29%, TNR: 18.83%, TNR+TPR/2: 59.06%
Step 1800: Test (0.3s): Average loss: 0.6150, Accuracy: 664/1024 (64.84%), TPR: 98.93%, TNR: 23.38%, TNR+TPR/2: 61.15%
Step 1900: Test (0.3s): Average loss: 0.6094, Accuracy: 683/1024 (66.70%), TPR: 98.58%, TNR: 27.92%, TNR+TPR/2: 63.25%
Step 2000: Test (0.3s): Average loss: 0.6040, Accuracy: 689/1024 (67.29%), TPR: 98.40%, TNR: 29.44%, TNR+TPR/2: 63.92%
ResNet-50: train_bb False, hidden_dim 1024, lr=0.001
Step 100: Test (0.3s): Average loss: 0.7623, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 200: Test (0.3s): Average loss: 0.5893, Accuracy: 779/1024 (76.07%), TPR: 93.42%, TNR: 54.98%, TNR+TPR/2: 74.20%
Step 300: Test (0.3s): Average loss: 0.5693, Accuracy: 733/1024 (71.58%), TPR: 61.21%, TNR: 84.20%, TNR+TPR/2: 72.70%
Step 400: Test (0.3s): Average loss: 0.5267, Accuracy: 794/1024 (77.54%), TPR: 86.30%, TNR: 66.88%, TNR+TPR/2: 76.59%
Step 500: Test (0.3s): Average loss: 0.6008, Accuracy: 717/1024 (70.02%), TPR: 98.04%, TNR: 35.93%, TNR+TPR/2: 66.99%
Step 600: Test (0.3s): Average loss: 0.6385, Accuracy: 718/1024 (70.12%), TPR: 97.86%, TNR: 36.36%, TNR+TPR/2: 67.11%
Step 700: Test (0.3s): Average loss: 0.5611, Accuracy: 779/1024 (76.07%), TPR: 93.06%, TNR: 55.41%, TNR+TPR/2: 74.24%
Step 800: Test (0.3s): Average loss: 0.5124, Accuracy: 796/1024 (77.73%), TPR: 82.74%, TNR: 71.65%, TNR+TPR/2: 77.19%
Step 900: Test (0.3s): Average loss: 0.5243, Accuracy: 787/1024 (76.86%), TPR: 76.87%, TNR: 76.84%, TNR+TPR/2: 76.85%
Step 1000: Test (0.3s): Average loss: 0.5399, Accuracy: 792/1024 (77.34%), TPR: 79.18%, TNR: 75.11%, TNR+TPR/2: 77.14%
Step 1100: Test (0.3s): Average loss: 0.5712, Accuracy: 797/1024 (77.83%), TPR: 84.34%, TNR: 69.91%, TNR+TPR/2: 77.13%
Step 1200: Test (0.3s): Average loss: 0.6401, Accuracy: 800/1024 (78.12%), TPR: 90.75%, TNR: 62.77%, TNR+TPR/2: 76.76%
Step 1300: Test (0.3s): Average loss: 0.7255, Accuracy: 780/1024 (76.17%), TPR: 93.06%, TNR: 55.63%, TNR+TPR/2: 74.34%
Step 1400: Test (0.3s): Average loss: 0.7989, Accuracy: 770/1024 (75.20%), TPR: 94.48%, TNR: 51.73%, TNR+TPR/2: 73.11%
Step 1500: Test (0.3s): Average loss: 0.8716, Accuracy: 762/1024 (74.41%), TPR: 94.84%, TNR: 49.57%, TNR+TPR/2: 72.20%
Step 1600: Test (0.3s): Average loss: 0.8871, Accuracy: 765/1024 (74.71%), TPR: 94.66%, TNR: 50.43%, TNR+TPR/2: 72.55%
Step 1700: Test (0.3s): Average loss: 0.8849, Accuracy: 763/1024 (74.51%), TPR: 93.95%, TNR: 50.87%, TNR+TPR/2: 72.41%
Step 1800: Test (0.4s): Average loss: 0.8773, Accuracy: 773/1024 (75.49%), TPR: 93.06%, TNR: 54.11%, TNR+TPR/2: 73.59%
Step 1900: Test (0.3s): Average loss: 0.8676, Accuracy: 777/1024 (75.88%), TPR: 91.99%, TNR: 56.28%, TNR+TPR/2: 74.13%
Step 2000: Test (0.3s): Average loss: 0.8618, Accuracy: 781/1024 (76.27%), TPR: 91.28%, TNR: 58.01%, TNR+TPR/2: 74.64%
ResNet-50: train_bb False, hidden_dim 1024, lr=0.0001
Step 100: Test (0.4s): Average loss: 0.6845, Accuracy: 563/1024 (54.98%), TPR: 100.00%, TNR: 0.22%, TNR+TPR/2: 50.11%
Step 200: Test (0.3s): Average loss: 0.6810, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 300: Test (0.4s): Average loss: 0.6780, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 400: Test (0.4s): Average loss: 0.6743, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 500: Test (0.3s): Average loss: 0.6692, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 600: Test (0.3s): Average loss: 0.6624, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 700: Test (0.3s): Average loss: 0.6551, Accuracy: 566/1024 (55.27%), TPR: 100.00%, TNR: 0.87%, TNR+TPR/2: 50.43%
Step 800: Test (0.4s): Average loss: 0.6471, Accuracy: 573/1024 (55.96%), TPR: 100.00%, TNR: 2.38%, TNR+TPR/2: 51.19%
Step 900: Test (0.4s): Average loss: 0.6388, Accuracy: 586/1024 (57.23%), TPR: 100.00%, TNR: 5.19%, TNR+TPR/2: 52.60%
Step 1000: Test (0.3s): Average loss: 0.6306, Accuracy: 605/1024 (59.08%), TPR: 99.64%, TNR: 9.74%, TNR+TPR/2: 54.69%
Step 1100: Test (0.3s): Average loss: 0.6223, Accuracy: 638/1024 (62.30%), TPR: 99.64%, TNR: 16.88%, TNR+TPR/2: 58.26%
Step 1200: Test (0.3s): Average loss: 0.6144, Accuracy: 665/1024 (64.94%), TPR: 99.11%, TNR: 23.38%, TNR+TPR/2: 61.24%
Step 1300: Test (0.3s): Average loss: 0.6069, Accuracy: 689/1024 (67.29%), TPR: 98.75%, TNR: 29.00%, TNR+TPR/2: 63.88%
Step 1400: Test (0.3s): Average loss: 0.5997, Accuracy: 708/1024 (69.14%), TPR: 98.04%, TNR: 33.98%, TNR+TPR/2: 66.01%
Step 1500: Test (0.3s): Average loss: 0.5926, Accuracy: 731/1024 (71.39%), TPR: 97.15%, TNR: 40.04%, TNR+TPR/2: 68.60%
Step 1600: Test (0.3s): Average loss: 0.5860, Accuracy: 737/1024 (71.97%), TPR: 96.44%, TNR: 42.21%, TNR+TPR/2: 69.32%
Step 1700: Test (0.3s): Average loss: 0.5798, Accuracy: 747/1024 (72.95%), TPR: 95.73%, TNR: 45.24%, TNR+TPR/2: 70.48%
Step 1800: Test (0.3s): Average loss: 0.5739, Accuracy: 755/1024 (73.73%), TPR: 95.73%, TNR: 46.97%, TNR+TPR/2: 71.35%
Step 1900: Test (0.3s): Average loss: 0.5685, Accuracy: 755/1024 (73.73%), TPR: 95.37%, TNR: 47.40%, TNR+TPR/2: 71.39%
Step 2000: Test (0.3s): Average loss: 0.5635, Accuracy: 758/1024 (74.02%), TPR: 95.55%, TNR: 47.84%, TNR+TPR/2: 71.69%
ConvNeXt-XL: train_bb True, hidden_dim 128, lr=0.001
Step 100: Test (0.5s): Average loss: 0.7582, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 200: Test (0.5s): Average loss: 0.6911, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 300: Test (0.5s): Average loss: 0.6991, Accuracy: 462/1024 (45.12%), TPR: 0.00%, TNR: 100.00%, TNR+TPR/2: 50.00%
Step 400: Test (0.5s): Average loss: 1.2914, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 500: Test (0.5s): Average loss: 1.7270, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 600: Test (0.5s): Average loss: 0.7067, Accuracy: 462/1024 (45.12%), TPR: 0.00%, TNR: 100.00%, TNR+TPR/2: 50.00%
Step 700: Test (0.5s): Average loss: 0.9950, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 800: Test (0.5s): Average loss: 0.8038, Accuracy: 462/1024 (45.12%), TPR: 0.00%, TNR: 100.00%, TNR+TPR/2: 50.00%
Step 900: Test (0.5s): Average loss: 0.6906, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 1000: Test (0.5s): Average loss: 0.6966, Accuracy: 462/1024 (45.12%), TPR: 0.00%, TNR: 100.00%, TNR+TPR/2: 50.00%
Step 1100: Test (0.6s): Average loss: 0.6885, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 1200: Test (0.5s): Average loss: 0.6889, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 1300: Test (0.5s): Average loss: 0.6916, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 1400: Test (0.5s): Average loss: 0.6959, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 1500: Test (0.5s): Average loss: 0.8355, Accuracy: 462/1024 (45.12%), TPR: 0.00%, TNR: 100.00%, TNR+TPR/2: 50.00%
Step 1600: Test (0.5s): Average loss: 0.7071, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 1700: Test (0.5s): Average loss: 0.7120, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 1800: Test (0.5s): Average loss: 0.7129, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 1900: Test (0.5s): Average loss: 0.7087, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 2000: Test (0.5s): Average loss: 0.7030, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
ConvNeXt-XL: train_bb True, hidden_dim 128, lr=0.0001
Step 100: Test (0.5s): Average loss: 0.6909, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 200: Test (0.5s): Average loss: 0.7082, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 300: Test (0.5s): Average loss: 0.7185, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 400: Test (0.5s): Average loss: 0.7142, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 500: Test (0.5s): Average loss: 0.7061, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
Step 600: Test (0.5s): Average loss: 0.6995, Accuracy: 562/1024 (54.88%), TPR: 100.00%, TNR: 0.00%, TNR+TPR/2: 50.00%
